ds,y
2025-04-25 00:00:00,1
2025-04-25 01:00:00,2
2025-04-25 02:00:00,1
2025-04-25 03:00:00,1
2025-04-25 04:00:00,2
2025-04-25 05:00:00,2
2025-04-25 06:00:00,46
2025-04-25 07:00:00,81
2025-04-25 08:00:00,116
2025-04-25 09:00:00,102
2025-04-25 10:00:00,71
2025-04-25 11:00:00,65
2025-04-25 12:00:00,128
2025-04-25 13:00:00,107
2025-04-25 14:00:00,92
2025-04-25 15:00:00,120
2025-04-25 16:00:00,144
2025-04-25 17:00:00,141
2025-04-25 18:00:00,109
2025-04-25 19:00:00,89
2025-04-25 20:00:00,69
2025-04-25 21:00:00,56
2025-04-25 22:00:00,46
2025-04-25 23:00:00,29
2025-04-26 00:00:00,1
2025-04-26 01:00:00,1
2025-04-26 02:00:00,1
2025-04-26 03:00:00,2
2025-04-26 04:00:00,1
2025-04-26 05:00:00,1
2025-04-26 06:00:00,36
2025-04-26 07:00:00,70
2025-04-26 08:00:00,92
2025-04-26 09:00:00,86
2025-04-26 10:00:00,63
2025-04-26 11:00:00,59
2025-04-26 12:00:00,109
2025-04-26 13:00:00,92
2025-04-26 14:00:00,76
2025-04-26 15:00:00,105
2025-04-26 16:00:00,124
2025-04-26 17:00:00,115
2025-04-26 18:00:00,97
2025-04-26 19:00:00,74
2025-04-26 20:00:00,62
2025-04-26 21:00:00,47
2025-04-26 22:00:00,38
2025-04-26 23:00:00,28
2025-04-27 00:00:00,4
2025-04-27 01:00:00,2
2025-04-27 02:00:00,1
2025-04-27 03:00:00,1
2025-04-27 04:00:00,1
2025-04-27 05:00:00,2
2025-04-27 06:00:00,31
2025-04-27 07:00:00,58
2025-04-27 08:00:00,75
2025-04-27 09:00:00,66
2025-04-27 10:00:00,51
2025-04-27 11:00:00,46
2025-04-27 12:00:00,90
2025-04-27 13:00:00,73
2025-04-27 14:00:00,62
2025-04-27 15:00:00,86
2025-04-27 16:00:00,106
2025-04-27 17:00:00,98
2025-04-27 18:00:00,82
2025-04-27 19:00:00,65
2025-04-27 20:00:00,51
2025-04-27 21:00:00,41
2025-04-27 22:00:00,31
2025-04-27 23:00:00,20
2025-04-28 00:00:00,4
2025-04-28 01:00:00,2
2025-04-28 02:00:00,1
2025-04-28 03:00:00,1
2025-04-28 04:00:00,1
2025-04-28 05:00:00,1
2025-04-28 06:00:00,45
2025-04-28 07:00:00,87
2025-04-28 08:00:00,111
2025-04-28 09:00:00,99
2025-04-28 10:00:00,72
2025-04-28 11:00:00,64
2025-04-28 12:00:00,127
2025-04-28 13:00:00,104
2025-04-28 14:00:00,93
2025-04-28 15:00:00,119
2025-04-28 16:00:00,147
2025-04-28 17:00:00,145
2025-04-28 18:00:00,110
2025-04-28 19:00:00,90
2025-04-28 20:00:00,72
2025-04-28 21:00:00,54
2025-04-28 22:00:00,43
2025-04-28 23:00:00,28
